test,N,name,ref,hash_u8,hash_f64,l2,rmse,max_abs,psnr
A_gauss_lowpass_blur,2048,A_gauss_lowpass_blur_0_src,,10866791419739912012,18265540612519131329,0,0,0,0
A_gauss_lowpass_blur,2048,A_gauss_lowpass_blur_0_src_spectrum.pgm,,3749688621329275414,5047345825184272573,0,0,0,0
SPECTRUM,2048,A_gauss_lowpass_blur_0_src_spectrum_fromF.pgm,,3749688621329275414,5047345825184272573,0,0,0,0
A_gauss_lowpass_blur,2048,A_gauss_lowpass_blur_1_blur,A_gauss_lowpass_blur_0_src,3456739244970335134,14042073320228457859,18365.6,8.96757,196.501,29.0773
A_gauss_lowpass_blur,2048,A_gauss_lowpass_blur_1_blur_spectrum.pgm,,17560898503544143786,7414603817598709529,0,0,0,0
B_gauss_highpass_edges,2048,B_gauss_highpass_edges_0_src,,10866791419739912012,18265540612519131329,0,0,0,0
B_gauss_highpass_edges,2048,B_gauss_highpass_edges_0_src_spectrum.pgm,,3749688621329275414,5047345825184272573,0,0,0,0
SPECTRUM,2048,B_gauss_highpass_edges_0_src_spectrum_fromF.pgm,,3749688621329275414,5047345825184272573,0,0,0,0
B_gauss_highpass_edges,2048,B_gauss_highpass_edges_1_edges_norm,,13918824126237060822,6150872006643985800,0,0,0,0
B_gauss_highpass_edges,2048,B_gauss_highpass_edges_1_edges_norm_spectrum.pgm,,7149525401828900317,14228424961793234750,0,0,0,0
C_bandpass_texture,2048,C_bandpass_texture_0_src,,10866791419739912012,18265540612519131329,0,0,0,0
C_bandpass_texture,2048,C_bandpass_texture_0_src_spectrum.pgm,,3749688621329275414,5047345825184272573,0,0,0,0
SPECTRUM,2048,C_bandpass_texture_0_src_spectrum_fromF.pgm,,3749688621329275414,5047345825184272573,0,0,0,0
C_bandpass_texture,2048,C_bandpass_texture_1_bandpass_norm,,9818206463593958077,6828425685112645907,0,0,0,0
C_bandpass_texture,2048,C_bandpass_texture_1_bandpass_norm_spectrum.pgm,,3195924986459601118,10963952125557511530,0,0,0,0
D_checkerboard,2048,D_checkerboard_0_src,,14861834530626609957,14220677151323202341,0,0,0,0
D_checkerboard,2048,D_checkerboard_0_src_spectrum.pgm,,13953749360887124954,8143916476406889572,0,0,0,0
SPECTRUM,2048,D_checkerboard_0_src_spectrum_fromF.pgm,,13953749360887124954,8143916476406889572,0,0,0,0
D_checkerboard,2048,D_checkerboard_1_lowpass_gaussian,D_checkerboard_0_src,15466597265096221477,11057884338809201028,108035,52.7517,94.4628,13.6861
D_checkerboard,2048,D_checkerboard_1_lowpass_gaussian_spectrum.pgm,,12165870305972638682,18344278746780740792,0,0,0,0
E_periodic_noise_auto_notch,2048,E_periodic_noise_auto_notch_0_base_clean,,10866791419739912012,18265540612519131329,0,0,0,0
E_periodic_noise_auto_notch,2048,E_periodic_noise_auto_notch_0_base_clean_spectrum.pgm,,3749688621329275414,5047345825184272573,0,0,0,0
E_periodic_noise_auto_notch,2048,E_periodic_noise_auto_notch_1_noisy,E_periodic_noise_auto_notch_0_base_clean,8246501991637648432,4878508715984069514,37467.9,18.2949,44.9859,22.8842
E_periodic_noise_auto_notch,2048,E_periodic_noise_auto_notch_1_noisy_spectrum.pgm,,9768228011621837558,17368994497585363944,0,0,0,0
SPECTRUM,2048,E_periodic_noise_auto_notch_1_noisy_spectrum_fromF.pgm,,9768228011621837558,17368994497585363944,0,0,0,0
E_periodic_noise_auto_notch,2048,E_periodic_noise_auto_notch_2_denoised_auto_notch,E_periodic_noise_auto_notch_0_base_clean,4077599198027618096,14538774786033697044,38319.1,18.7105,244.944,22.6891
E_periodic_noise_auto_notch,2048,E_periodic_noise_auto_notch_2_denoised_auto_notch_spectrum.pgm,,4977468855659379431,13289736341461358950,0,0,0,0
F_radial_rings_bandstop,2048,F_radial_rings_bandstop_0_src,,12729338138157003600,17365592685171763304,0,0,0,0
F_radial_rings_bandstop,2048,F_radial_rings_bandstop_0_src_spectrum.pgm,,1793776746216188088,13302039625262425723,0,0,0,0
SPECTRUM,2048,F_radial_rings_bandstop_0_src_spectrum_fromF.pgm,,1793776746216188088,13302039625262425723,0,0,0,0
F_radial_rings_bandstop,2048,F_radial_rings_bandstop_1_bandstop_removed_rings,F_radial_rings_bandstop_0_src,3054508027361530248,14501670734405856769,87.0804,0.0425197,1.1745,75.559
F_radial_rings_bandstop,2048,F_radial_rings_bandstop_1_bandstop_removed_rings_spectrum.pgm,,5849908432202848688,17030006765544926880,0,0,0,0
