test,N,stage,ms
A_gauss_lowpass_blur,2048,DFT2,51751.1
A_gauss_lowpass_blur,2048,Mask_gaussian_lowpass,20.6776
A_gauss_lowpass_blur,2048,IDFT2,56243
B_gauss_highpass_edges,2048,DFT2,52121
B_gauss_highpass_edges,2048,Mask_gaussian_highpass,19.8412
B_gauss_highpass_edges,2048,IDFT2,62823.5
C_bandpass_texture,2048,DFT2,56116.7
C_bandpass_texture,2048,Mask_bandpass_ideal,21.1875
C_bandpass_texture,2048,IDFT2,59278.5
D_checkerboard,2048,DFT2,52432.6
D_checkerboard,2048,Mask_gaussian_lowpass,56.6407
D_checkerboard,2048,IDFT2,57735.9
E_periodic_noise_auto_notch,2048,DFT2,54264.2
E_periodic_noise_auto_notch,2048,Build_auto_notch,99.3959
E_periodic_noise_auto_notch,2048,Mask_auto_notch,21.6588
E_periodic_noise_auto_notch,2048,IDFT2,59109.3
F_radial_rings_bandstop,2048,DFT2,53590
F_radial_rings_bandstop,2048,Mask_bandstop_ideal,21.5822
F_radial_rings_bandstop,2048,IDFT2,58335.1
