test,N,stage,ms
A_gauss_lowpass_blur,2048,FFT2,291.479
A_gauss_lowpass_blur,2048,Mask_gaussian_lowpass,54.5366
A_gauss_lowpass_blur,2048,IFFT2,338.55
B_gauss_highpass_edges,2048,FFT2,294.991
B_gauss_highpass_edges,2048,Mask_gaussian_highpass,53.6698
B_gauss_highpass_edges,2048,IFFT2,312.774
C_bandpass_texture,2048,FFT2,295.69
C_bandpass_texture,2048,Mask_bandpass_ideal,56.0918
C_bandpass_texture,2048,IFFT2,338.357
D_checkerboard,2048,FFT2,289.839
D_checkerboard,2048,Mask_gaussian_lowpass,55.3141
D_checkerboard,2048,IFFT2,340.945
E_periodic_noise_auto_notch,2048,FFT2,279.766
E_periodic_noise_auto_notch,2048,Build_auto_notch,199.678
E_periodic_noise_auto_notch,2048,Mask_auto_notch,54.6902
E_periodic_noise_auto_notch,2048,IFFT2,334.445
F_radial_rings_bandstop,2048,FFT2,288.079
F_radial_rings_bandstop,2048,Mask_bandstop_ideal,54.9513
F_radial_rings_bandstop,2048,IFFT2,340.26
