test,N,stage,ms
A_gauss_lowpass_blur,2048,DFT2,911.656
A_gauss_lowpass_blur,2048,Mask_gaussian_lowpass,5.80218
A_gauss_lowpass_blur,2048,IDFT2,906.58
B_gauss_highpass_edges,2048,DFT2,913.626
B_gauss_highpass_edges,2048,Mask_gaussian_highpass,5.01339
B_gauss_highpass_edges,2048,IDFT2,908.79
C_bandpass_texture,2048,DFT2,914.296
C_bandpass_texture,2048,Mask_bandpass_ideal,4.56169
C_bandpass_texture,2048,IDFT2,908.942
D_checkerboard,2048,DFT2,914.167
D_checkerboard,2048,Mask_gaussian_lowpass,5.24713
D_checkerboard,2048,IDFT2,909.083
E_periodic_noise_auto_notch,2048,DFT2,914.698
E_periodic_noise_auto_notch,2048,Build_auto_notch,196.728
E_periodic_noise_auto_notch,2048,Mask_auto_notch,5.33553
E_periodic_noise_auto_notch,2048,IDFT2,909.092
F_radial_rings_bandstop,2048,DFT2,915.219
F_radial_rings_bandstop,2048,Mask_bandstop_ideal,4.54964
F_radial_rings_bandstop,2048,IDFT2,909.108
