test,N,stage,ms
A_gauss_lowpass_blur,2048,FFT2,19.9224
A_gauss_lowpass_blur,2048,Mask_gaussian_lowpass,4.96598
A_gauss_lowpass_blur,2048,IFFT2,15.1765
B_gauss_highpass_edges,2048,FFT2,20.4252
B_gauss_highpass_edges,2048,Mask_gaussian_highpass,4.58151
B_gauss_highpass_edges,2048,IFFT2,15.17
C_bandpass_texture,2048,FFT2,20.3382
C_bandpass_texture,2048,Mask_bandpass_ideal,4.61456
C_bandpass_texture,2048,IFFT2,15.1633
D_checkerboard,2048,FFT2,20.3242
D_checkerboard,2048,Mask_gaussian_lowpass,5.05914
D_checkerboard,2048,IFFT2,15.154
E_periodic_noise_auto_notch,2048,FFT2,20.0705
E_periodic_noise_auto_notch,2048,Build_auto_notch,195.498
E_periodic_noise_auto_notch,2048,Mask_auto_notch,4.74061
E_periodic_noise_auto_notch,2048,IFFT2,15.172
F_radial_rings_bandstop,2048,FFT2,20.4185
F_radial_rings_bandstop,2048,Mask_bandstop_ideal,4.15549
F_radial_rings_bandstop,2048,IFFT2,15.1636
